rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.2651302280983418,0.12823754201263124,0.8607000744674528,0.7202698920768175,Student_Baseline,student,0.5,42,light
0.37410826881434367,0.14316225747876443,,0.6760846711428107,GAIN,breast_cancer,0.05,0,light
0.3733936299470344,0.14209387873945273,,0.6986725483818508,WGAN_FWAL,breast_cancer,0.05,0,light
0.37339362708578133,0.14209387767107826,,0.7029537323141974,KD,breast_cancer,0.05,0,light
0.395622029296337,0.1591878808762188,,0.6892064331017821,Student_Baseline,breast_cancer,0.05,0,light
0.37149199198627847,0.14238759474274262,,0.6991064168389751,GAIN,breast_cancer,0.1,0,light
0.3823884950121063,0.15005461883913582,,0.6812803475594174,WGAN_FWAL,breast_cancer,0.1,0,light
0.4063430562397552,0.1692221788062967,,0.6934234370280883,KD,breast_cancer,0.1,0,light
0.4056686281575628,0.16922217935394102,,0.7270032293288107,Student_Baseline,breast_cancer,0.1,0,light
0.4141334441813994,0.17479434904126576,,0.6708015821387916,GAIN,breast_cancer,0.2,0,light
0.39204378319985494,0.1583560109590551,,0.7100335710800827,WGAN_FWAL,breast_cancer,0.2,0,light
0.401025685988304,0.16438340137002125,,0.6976593174267594,KD,breast_cancer,0.2,0,light
0.40459647358675654,0.16739709657550433,,0.7443367678832795,Student_Baseline,breast_cancer,0.2,0,light
0.4143263535218687,0.17518501370387335,,0.6734727481820505,GAIN,breast_cancer,0.3,0,light
0.3845387875976884,0.1516665191668121,,0.7078084705991683,WGAN_FWAL,breast_cancer,0.3,0,light
0.3861007374311577,0.1518517031482953,,0.6578706177543387,KD,breast_cancer,0.3,0,light
0.41219785398984765,0.17314797824090902,,0.670438282647585,Student_Baseline,breast_cancer,0.3,0,light
0.4564248553322289,0.2123300840197912,,0.6733504867225797,GAIN,breast_cancer,0.5,0,light
0.40259799988427547,0.16659231654812115,,0.5700131264084752,WGAN_FWAL,breast_cancer,0.5,0,light
0.39301678487038966,0.15891371177402236,,0.599802523058337,KD,breast_cancer,0.5,0,light
0.44293757306771453,0.2000888324061572,,0.5680546197988059,Student_Baseline,breast_cancer,0.5,0,light
0.04701884157717768,0.017128105760739355,,,GAIN,spam,0.05,0,light
0.051807057312172194,0.023661103373272784,,,WGAN_FWAL,spam,0.05,0,light
0.052963785778610016,0.023563062961686015,,,KD,spam,0.05,0,light
0.04722091476468602,0.018371424498854105,,,Student_Baseline,spam,0.05,0,light
